idUser,name,"age_numerical","gender_nominal","occupation_nominal","zipcode_nominal"
1,"ml100k-user_1",24.0,"M","technician","85711"
2,"ml100k-user_2",53.0,"F","other","94043"
3,"ml100k-user_3",23.0,"M","writer","32067"
4,"ml100k-user_4",24.0,"M","technician","43537"
5,"ml100k-user_5",33.0,"F","other","15213"
6,"ml100k-user_6",42.0,"M","executive","98101"
7,"ml100k-user_7",57.0,"M","administrator","91344"
8,"ml100k-user_8",36.0,"M","administrator","05201"
9,"ml100k-user_9",29.0,"M","student","01002"
10,"ml100k-user_10",53.0,"M","lawyer","90703"
11,"ml100k-user_11",39.0,"F","other","30329"
12,"ml100k-user_12",28.0,"F","other","06405"
13,"ml100k-user_13",47.0,"M","educator","29206"
14,"ml100k-user_14",45.0,"M","scientist","55106"
15,"ml100k-user_15",49.0,"F","educator","97301"
16,"ml100k-user_16",21.0,"M","entertainment","10309"
17,"ml100k-user_17",30.0,"M","programmer","06355"
18,"ml100k-user_18",35.0,"F","other","37212"
19,"ml100k-user_19",40.0,"M","librarian","02138"
20,"ml100k-user_20",42.0,"F","homemaker","95660"
21,"ml100k-user_21",26.0,"M","writer","30068"
22,"ml100k-user_22",25.0,"M","writer","40206"
23,"ml100k-user_23",30.0,"F","artist","48197"
24,"ml100k-user_24",21.0,"F","artist","94533"
25,"ml100k-user_25",39.0,"M","engineer","55107"
26,"ml100k-user_26",49.0,"M","engineer","21044"
27,"ml100k-user_27",40.0,"F","librarian","30030"
28,"ml100k-user_28",32.0,"M","writer","55369"
29,"ml100k-user_29",41.0,"M","programmer","94043"
30,"ml100k-user_30",7.0,"M","student","55436"
31,"ml100k-user_31",24.0,"M","artist","10003"
32,"ml100k-user_32",28.0,"F","student","78741"
33,"ml100k-user_33",23.0,"M","student","27510"
34,"ml100k-user_34",38.0,"F","administrator","42141"
35,"ml100k-user_35",20.0,"F","homemaker","42459"
36,"ml100k-user_36",19.0,"F","student","93117"
37,"ml100k-user_37",23.0,"M","student","55105"
38,"ml100k-user_38",28.0,"F","other","54467"
39,"ml100k-user_39",41.0,"M","entertainment","01040"
40,"ml100k-user_40",38.0,"M","scientist","27514"
41,"ml100k-user_41",33.0,"M","engineer","80525"
42,"ml100k-user_42",30.0,"M","administrator","17870"
43,"ml100k-user_43",29.0,"F","librarian","20854"
44,"ml100k-user_44",26.0,"M","technician","46260"
45,"ml100k-user_45",29.0,"M","programmer","50233"
46,"ml100k-user_46",27.0,"F","marketing","46538"
47,"ml100k-user_47",53.0,"M","marketing","07102"
48,"ml100k-user_48",45.0,"M","administrator","12550"
49,"ml100k-user_49",23.0,"F","student","76111"
50,"ml100k-user_50",21.0,"M","writer","52245"
51,"ml100k-user_51",28.0,"M","educator","16509"
52,"ml100k-user_52",18.0,"F","student","55105"
53,"ml100k-user_53",26.0,"M","programmer","55414"
54,"ml100k-user_54",22.0,"M","executive","66315"
55,"ml100k-user_55",37.0,"M","programmer","01331"
56,"ml100k-user_56",25.0,"M","librarian","46260"
57,"ml100k-user_57",16.0,"M","none","84010"
58,"ml100k-user_58",27.0,"M","programmer","52246"
59,"ml100k-user_59",49.0,"M","educator","08403"
60,"ml100k-user_60",50.0,"M","healthcare","06472"
61,"ml100k-user_61",36.0,"M","engineer","30040"
62,"ml100k-user_62",27.0,"F","administrator","97214"
63,"ml100k-user_63",31.0,"M","marketing","75240"
64,"ml100k-user_64",32.0,"M","educator","43202"
65,"ml100k-user_65",51.0,"F","educator","48118"
66,"ml100k-user_66",23.0,"M","student","80521"
67,"ml100k-user_67",17.0,"M","student","60402"
68,"ml100k-user_68",19.0,"M","student","22904"
69,"ml100k-user_69",24.0,"M","engineer","55337"
70,"ml100k-user_70",27.0,"M","engineer","60067"
71,"ml100k-user_71",39.0,"M","scientist","98034"
